order_id,customer_id,order_date,product_id,quantity,sales_amount
5001,1001,2024-01-10,2001,2,1500
5002,1002,2024-01-15,2003,1,800
5003,1003,2024-02-05,2002,3,2100
5004,1004,2024-02-18,2005,1,450
5005,1005,2024-03-01,2004,2,1200
5006,1006,2024-03-12,2001,1,750
5007,1007,2024-04-08,2006,4,3200
5008,1008,2024-04-20,2003,2,1600
5009,1009,2024-05-05,2007,1,900
5010,1010,2024-05-25,2005,3,1350
5011,1001,2024-06-10,2004,1,600
5012,1002,2024-06-22,2006,2,1700
5013,1003,2024-07-15,2007,2,1800
5014,1005,2024-08-01,2002,1,700
5015,1007,2024-08-25,2003,3,2400
