product_id,product_name,category,cost
2001,Laptop,Electronics,600
2002,Smartphone,Electronics,400
2003,Headphones,Accessories,100
2004,Office Chair,Furniture,250
2005,Desk,Furniture,300
2006,Tablet,Electronics,500
2007,Printer,Electronics,350
2008,Wireless Keyboard,Peripherals,1008
2009,Portable Keyboard,Peripherals,1291
2010,Professional Keyboard,Office Supplies,101
2011,Premium Keyboard,Storage,727
2012,Smart Keyboard,Furniture,801
2013,Digital Keyboard,Accessories,305
2014,Compact Keyboard,Networking,52
2015,Advanced Keyboard,Electronics,1330
2016,Ergonomic Keyboard,Office Supplies,1414
2017,Business Keyboard,Accessories,637
2018,Classic Keyboard,Networking,543
2019,Ultra Keyboard,Networking,736
2020,Essential Keyboard,Accessories,1378
2021,Modern Keyboard,Office Supplies,825
2022,High Speed Keyboard,Electronics,1069
2023,Rechargeable Keyboard,Electronics,1116
2024,Bluetooth Keyboard,Storage,1316
2025,USB Keyboard,Networking,1152
2026,LED Keyboard,Office Supplies,1061
2027,Mechanical Keyboard,Peripherals,1261
2028,Wireless Mouse,Storage,671
2029,Portable Mouse,Electronics,500
2030,Professional Mouse,Electronics,1089
2031,Premium Mouse,Furniture,1441
2032,Smart Mouse,Storage,701
2033,Digital Mouse,Storage,1410
2034,Compact Mouse,Accessories,395
2035,Advanced Mouse,Electronics,1454
2036,Ergonomic Mouse,Electronics,1067
2037,Business Mouse,Peripherals,92
2038,Classic Mouse,Furniture,919
2039,Ultra Mouse,Furniture,965
2040,Essential Mouse,Office Supplies,197
2041,Modern Mouse,Office Supplies,900
2042,High Speed Mouse,Networking,292
2043,Rechargeable Mouse,Electronics,1334
2044,Bluetooth Mouse,Accessories,854
2045,USB Mouse,Networking,832
2046,LED Mouse,Networking,259
2047,Mechanical Mouse,Peripherals,1177
2048,Wireless Monitor,Peripherals,1094
2049,Portable Monitor,Accessories,76
2050,Professional Monitor,Office Supplies,574
2051,Premium Monitor,Storage,727
2052,Smart Monitor,Storage,1354
2053,Digital Monitor,Electronics,385
2054,Compact Monitor,Networking,1003
2055,Advanced Monitor,Peripherals,1177
2056,Ergonomic Monitor,Electronics,433
2057,Business Monitor,Accessories,347
2058,Classic Monitor,Electronics,532
2059,Ultra Monitor,Accessories,791
2060,Essential Monitor,Office Supplies,126
2061,Modern Monitor,Networking,1488
2062,High Speed Monitor,Office Supplies,447
2063,Rechargeable Monitor,Storage,531
2064,Bluetooth Monitor,Office Supplies,1087
2065,USB Monitor,Peripherals,864
2066,LED Monitor,Storage,501
2067,Mechanical Monitor,Office Supplies,449
2068,Wireless Webcam,Electronics,565
2069,Portable Webcam,Electronics,1496
2070,Professional Webcam,Office Supplies,116
2071,Premium Webcam,Accessories,872
2072,Smart Webcam,Storage,113
2073,Digital Webcam,Peripherals,1182
2074,Compact Webcam,Networking,639
2075,Advanced Webcam,Storage,595
2076,Ergonomic Webcam,Electronics,535
2077,Business Webcam,Accessories,1060
2078,Classic Webcam,Networking,1134
2079,Ultra Webcam,Furniture,273
2080,Essential Webcam,Accessories,476
2081,Modern Webcam,Office Supplies,55
2082,High Speed Webcam,Electronics,813
2083,Rechargeable Webcam,Peripherals,1348
2084,Bluetooth Webcam,Accessories,878
2085,USB Webcam,Electronics,743
2086,LED Webcam,Electronics,1305
2087,Mechanical Webcam,Accessories,1224
2088,Wireless Speaker,Furniture,157
2089,Portable Speaker,Electronics,813
2090,Professional Speaker,Electronics,895
2091,Premium Speaker,Office Supplies,437
2092,Smart Speaker,Peripherals,583
2093,Digital Speaker,Electronics,1032
2094,Compact Speaker,Storage,615
2095,Advanced Speaker,Accessories,88
2096,Ergonomic Speaker,Networking,1499
2097,Business Speaker,Electronics,36
2098,Classic Speaker,Office Supplies,1318
2099,Ultra Speaker,Furniture,380
2100,Essential Speaker,Accessories,197
2101,Modern Speaker,Furniture,153
2102,High Speed Speaker,Storage,923
2103,Rechargeable Speaker,Electronics,959
2104,Bluetooth Speaker,Networking,1191
2105,USB Speaker,Accessories,1145
2106,LED Speaker,Peripherals,167
2107,Mechanical Speaker,Storage,371
2108,Wireless Router,Furniture,444
2109,Portable Router,Storage,726
2110,Professional Router,Office Supplies,1287
2111,Premium Router,Peripherals,642
2112,Smart Router,Office Supplies,762
2113,Digital Router,Networking,1100
2114,Compact Router,Electronics,1426
2115,Advanced Router,Networking,1460
2116,Ergonomic Router,Electronics,747
2117,Business Router,Electronics,1254
2118,Classic Router,Office Supplies,1003
2119,Ultra Router,Furniture,393
2120,Essential Router,Peripherals,864
2121,Modern Router,Electronics,125
2122,High Speed Router,Electronics,1066
2123,Rechargeable Router,Networking,672
2124,Bluetooth Router,Networking,320
2125,USB Router,Accessories,1058
2126,LED Router,Office Supplies,331
2127,Mechanical Router,Electronics,366
2128,Wireless Hard Drive,Networking,1112
2129,Portable Hard Drive,Furniture,193
2130,Professional Hard Drive,Storage,1345
2131,Premium Hard Drive,Furniture,827
2132,Smart Hard Drive,Office Supplies,675
2133,Digital Hard Drive,Storage,512
2134,Compact Hard Drive,Electronics,1398
2135,Advanced Hard Drive,Networking,151
2136,Ergonomic Hard Drive,Office Supplies,1129
2137,Business Hard Drive,Networking,457
2138,Classic Hard Drive,Networking,733
2139,Ultra Hard Drive,Electronics,954
2140,Essential Hard Drive,Peripherals,949
2141,Modern Hard Drive,Networking,283
2142,High Speed Hard Drive,Networking,876
2143,Rechargeable Hard Drive,Storage,592
2144,Bluetooth Hard Drive,Office Supplies,846
2145,USB Hard Drive,Accessories,458
2146,LED Hard Drive,Peripherals,1045
2147,Mechanical Hard Drive,Networking,485
2148,Wireless SSD,Networking,1474
2149,Portable SSD,Accessories,938
2150,Professional SSD,Furniture,1282
2151,Premium SSD,Office Supplies,353
2152,Smart SSD,Electronics,490
2153,Digital SSD,Storage,848
2154,Compact SSD,Accessories,432
2155,Advanced SSD,Electronics,607
2156,Ergonomic SSD,Electronics,959
2157,Business SSD,Accessories,1429
2158,Classic SSD,Office Supplies,1189
2159,Ultra SSD,Storage,746
2160,Essential SSD,Peripherals,1117
2161,Modern SSD,Electronics,355
2162,High Speed SSD,Electronics,531
2163,Rechargeable SSD,Networking,878
2164,Bluetooth SSD,Accessories,414
2165,USB SSD,Electronics,329
2166,LED SSD,Storage,1348
2167,Mechanical SSD,Accessories,1360
2168,Wireless USB Hub,Accessories,214
2169,Portable USB Hub,Furniture,682
